1024 1024
(x=407, y=744); kind: conductor;
(x=157, y=475); kind: conductor;
(x=407, y=891); kind: conductor;
(x=172, y=475); kind: conductor;
(x=407, y=793); kind: conductor;
(x=407, y=830); kind: conductor;
(x=407, y=882); kind: conductor;
(x=189, y=475); kind: conductor;
(x=407, y=888); kind: conductor;
(x=407, y=922); kind: conductor;
(x=361, y=475); kind: conductor;
(x=407, y=863); kind: conductor;
(x=247, y=475); kind: conductor;
(x=358, y=475); kind: conductor;
(x=407, y=967); kind: conductor;
(x=281, y=475); kind: conductor;
(x=407, y=831); kind: conductor;
(x=363, y=475); kind: conductor;
(x=407, y=876); kind: conductor;
(x=407, y=884); kind: conductor;
(x=269, y=475); kind: conductor;
(x=278, y=475); kind: conductor;
(x=407, y=723); kind: conductor;
(x=102, y=475); kind: conductor;
(x=407, y=673); kind: conductor;
(x=407, y=682); kind: conductor;
(x=539, y=347); kind: producer;
(x=407, y=935); kind: conductor;
(x=276, y=475); kind: conductor;
(x=407, y=890); kind: conductor;
(x=188, y=475); kind: conductor;
(x=407, y=875); kind: conductor;
(x=407, y=852); kind: conductor;
(x=107, y=475); kind: conductor;
(x=407, y=904); kind: conductor;
